id,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
55550,2008,1,20,7,1243.0,1235,1640.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55551,2008,1,20,7,724.0,1235,1122.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55552,2008,1,20,7,955.0,1235,1342.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55553,2008,1,20,7,1123.0,1235,1510.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55554,2008,1,20,7,1829.0,1235,2245.0,1635,WN,2627,N729SW,117.0,120.0,94.0,5.0,8.0,LAS,AMA,758,4.0,19.0,0,N,0,,,,,
55555,2008,1,20,7,722.0,925,1000.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55555,2008,1,20,7,951.0,925,1200.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55555,2008,1,20,7,1432.0,925,1600.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55555,2008,1,20,7,648.0,925,800.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55555,2008,1,20,7,1811.0,925,2300.0,1450,WN,306,N257WN,192.0,205.0,179.0,70.0,83.0,LAS,BHM,1618,2.0,11.0,0,N,0,70.0,0.0,0.0,0.0,0.0
55557,2008,1,20,7,1949.0,1900,104.0,25,WN,2019,N745SW,195.0,205.0,175.0,39.0,49.0,LAS,BNA,1588,6.0,14.0,0,N,0,39.0,0.0,0.0,0.0,0.0
55569,2008,1,20,7,1411.0,1400,1511.0,1505,WN,1667,N789SW,60.0,65.0,45.0,6.0,11.0,LAS,BUR,223,2.0,13.0,0,N,0,,,,,
55570,2008,1,20,7,1911.0,1905,2014.0,2005,WN,1677,N273WN,63.0,60.0,48.0,9.0,6.0,LAS,BUR,223,2.0,13.0,0,N,0,,,,,
55574,2008,1,20,7,1049.0,1040,1148.0,1140,WN,3580,N795SW,59.0,60.0,45.0,8.0,9.0,LAS,BUR,223,2.0,12.0,0,N,0,,,,,
55575,2008,1,20,7,1733.0,1725,38.0,45,WN,1099,N495WN,245.0,260.0,229.0,-7.0,8.0,LAS,BWI,2106,4.0,12.0,0,N,0,,,,,
55578,2008,1,20,7,1519.0,1300,2211.0,2000,WN,2728,N701GS,232.0,240.0,211.0,131.0,139.0,LAS,CLE,1825,5.0,16.0,0,N,0,131.0,0.0,0.0,0.0,0.0
55585,2008,1,20,7,1517.0,1505,1756.0,1805,WN,2705,N506SW,99.0,120.0,83.0,-9.0,12.0,LAS,DEN,629,6.0,10.0,0,N,0,,,,,
55596,2008,1,20,7,1740.0,1635,41.0,2355,WN,444,N293,241.0,260.0,226.0,46.0,65.0,LAS,IAD,2066,4.0,11.0,0,N,0,44.0,0.0,0.0,0.0,2.0
55599,2008,1,20,7,1642.0,1510,26.0,2255,WN,1406,N432WN,284.0,285.0,259.0,91.0,92.0,LAS,ISP,2283,5.0,20.0,0,N,0,91.0,0.0,0.0,0.0,0.0
55605,2008,1,20,7,1642.0,1635,1756.0,1745,WN,878,N664WN,74.0,70.0,43.0,11.0,7.0,LAS,LAX,236,9.0,22.0,0,N,0,,,,,
55608,2008,1,20,7,1034.0,1025,1136.0,1135,WN,1198,N389SW,62.0,70.0,44.0,1.0,9.0,LAS,LAX,236,6.0,12.0,0,N,0,,,,,
55616,2008,1,20,7,2025.0,2000,53.0,45,WN,88,N728SW,148.0,165.0,130.0,8.0,25.0,LAS,MCI,1140,6.0,12.0,0,N,0,,,,,
55617,2008,1,20,7,1229.0,1215,1728.0,1705,WN,594,N308SA,179.0,170.0,147.0,23.0,14.0,LAS,MCI,1140,4.0,28.0,0,N,0,10.0,0.0,9.0,0.0,4.0
55620,2008,1,20,7,943.0,935,1426.0,1425,WN,1201,N639SW,163.0,170.0,146.0,1.0,8.0,LAS,MCI,1140,4.0,13.0,0,N,0,,,,,
55633,2008,1,20,7,1546.0,1530,2106.0,2100,WN,3920,N213WN,200.0,210.0,181.0,6.0,16.0,LAS,MDW,1521,6.0,13.0,0,N,0,,,,,
55634,2008,1,20,7,1622.0,1615,2400.0,5,WN,61,N453WN,278.0,290.0,256.0,-5.0,7.0,LAS,MHT,2356,3.0,19.0,0,N,0,,,,,
55639,2008,1,20,7,1601.0,1530,1730.0,1705,WN,733,N505SW,89.0,95.0,72.0,25.0,31.0,LAS,OAK,407,7.0,10.0,0,N,0,25.0,0.0,0.0,0.0,0.0
55642,2008,1,20,7,1124.0,1105,1254.0,1235,WN,1359,N660SW,90.0,90.0,74.0,19.0,19.0,LAS,OAK,407,5.0,11.0,0,N,0,0.0,0.0,8.0,0.0,11.0
55648,2008,1,20,7,2212.0,2205,2348.0,2335,WN,2890,N794SW,96.0,90.0,73.0,13.0,7.0,LAS,OAK,407,6.0,17.0,0,N,0,,,,,
55659,2008,1,20,7,2044.0,2025,2135.0,2115,WN,1449,N436WN,51.0,50.0,35.0,20.0,19.0,LAS,ONT,197,5.0,11.0,0,N,0,0.0,0.0,1.0,5.0,14.0
55664,2008,1,20,7,1543.0,1525,2258.0,2255,WN,446,N209WN,255.0,270.0,238.0,3.0,18.0,LAS,ORF,2155,4.0,13.0,0,N,0,,,,,
55666,2008,1,20,7,2144.0,2130,1.0,2350,WN,507,N321SW,137.0,140.0,119.0,11.0,14.0,LAS,PDX,762,2.0,16.0,0,N,0,,,,,
